"No.","Time","Source","Destination","Protocol","Length","Info"
"17","2026/106 15:00:45.714092300","172.18.82.96","224.0.0.251","MDNS","201","Standard query 0x0000 ANY 5B722429-6B9E-47E1-9E24-26236614E409._asquic._udp.local, ""QU"" question ANY Slims-Phone.local, ""QU"" question SRV 0 0 65038 Slims-Phone.local AAAA fe80::468:cd9b:2d31:c48a A 172.18.82.96"
"18","2026/106 15:00:45.714092300","a0:d7:68:40:a1:26","Intel_61:82:b7","ARP","60","Who has 172.18.80.164? Tell 172.18.81.207"
"19","2026/106 15:00:45.714092300","fe80::468:cd9b:2d31:c48a","ff02::fb","MDNS","221","Standard query 0x0000 ANY 5B722429-6B9E-47E1-9E24-26236614E409._asquic._udp.local, ""QU"" question ANY Slims-Phone.local, ""QU"" question SRV 0 0 65038 Slims-Phone.local AAAA fe80::468:cd9b:2d31:c48a A 172.18.82.96"
"20","2026/106 15:00:45.714941900","fe80::149c:7fb7:e010:32e6","ff02::fb","MDNS","461","Standard query response 0x0000 TXT PTR Jelissaâ\200\231s MacBook Air._companion-link._tcp.local TXT, cache flush SRV, cache flush 0 0 61740 Jelissas-MacBook-Air.local AAAA, cache flush fe80::149c:7fb7:e010:32e6 A, cache flush 172.18.81.204 NSEC, cache flush Jelissaâ\200\231s MacBook Air._companion-link._tcp.local NSEC, cache flush Jelissas-MacBook-Air.local"
"21","2026/106 15:00:45.714941900","172.18.81.204","224.0.0.251","MDNS","441","Standard query response 0x0000 TXT PTR Jelissaâ\200\231s MacBook Air._companion-link._tcp.local TXT, cache flush SRV, cache flush 0 0 61740 Jelissas-MacBook-Air.local AAAA, cache flush fe80::149c:7fb7:e010:32e6 A, cache flush 172.18.81.204 NSEC, cache flush Jelissaâ\200\231s MacBook Air._companion-link._tcp.local NSEC, cache flush Jelissas-MacBook-Air.local"
"22","2026/106 15:00:45.719606400","172.18.81.30","224.0.0.251","MDNS","432","Standard query response 0x0000 TXT PTR Joshuaâ\200\231s MacBook Air._companion-link._tcp.local TXT, cache flush AAAA, cache flush fe80::103c:db89:bb20:1aaa A, cache flush 172.18.81.30 SRV, cache flush 0 0 56547 Joshuas-MacBook-Air.local NSEC, cache flush Joshuaâ\200\231s MacBook Air._companion-link._tcp.local NSEC, cache flush Joshuas-MacBook-Air.local"
"23","2026/106 15:00:45.719606400","fe80::103c:db89:bb20:1aaa","ff02::fb","MDNS","452","Standard query response 0x0000 TXT PTR Joshuaâ\200\231s MacBook Air._companion-link._tcp.local TXT, cache flush AAAA, cache flush fe80::103c:db89:bb20:1aaa A, cache flush 172.18.81.30 SRV, cache flush 0 0 56547 Joshuas-MacBook-Air.local NSEC, cache flush Joshuaâ\200\231s MacBook Air._companion-link._tcp.local NSEC, cache flush Joshuas-MacBook-Air.local"
"24","2026/106 15:00:45.793304500","fe80::b843:61ff:feee:4dcb","ff02::16","ICMPv6","94","Multicast Listener Report Message v2"
"25","2026/106 15:00:46.009708700","172.18.82.96","224.0.0.251","MDNS","201","Standard query 0x0000 ANY 5B722429-6B9E-47E1-9E24-26236614E409._asquic._udp.local, ""QM"" question ANY Slims-Phone.local, ""QM"" question SRV 0 0 65038 Slims-Phone.local AAAA fe80::468:cd9b:2d31:c48a A 172.18.82.96"
"26","2026/106 15:00:46.009708700","fe80::468:cd9b:2d31:c48a","ff02::fb","MDNS","221","Standard query 0x0000 ANY 5B722429-6B9E-47E1-9E24-26236614E409._asquic._udp.local, ""QM"" question ANY Slims-Phone.local, ""QM"" question SRV 0 0 65038 Slims-Phone.local AAAA fe80::468:cd9b:2d31:c48a A 172.18.82.96"
"27","2026/106 15:00:46.009708700","fe80::10f1:37e7:8161:63f0","ff02::1:ffe3:7110","ICMPv6","90","Neighbor Solicitation for fe80::10b5:340:c8e3:7110 from a4:cf:99:91:0d:ad"
"28","2026/106 15:00:46.009708700","LiteonTechno_22:2f:cb","Intel_61:82:b7","ARP","60","Who has 172.18.81.129? Tell 172.18.80.69"
"29","2026/106 15:00:46.009708700","MS-NLB-PhysServer-25_c2:7b:28:3e","Intel_61:82:b7","ARP","60","Who has 169.254.81.72? Tell 172.18.80.119"
"30","2026/106 15:00:46.013005400","fe80::b843:61ff:feee:4dcb","ff02::16","ICMPv6","94","Multicast Listener Report Message v2"
"31","2026/106 15:00:46.017315900","fe80::103c:db89:bb20:1aaa","ff02::1:ff5b:56fa","ICMPv6","90","Neighbor Solicitation for fe80::8e4:f0ef:125b:56fa from f6:4b:11:1b:28:97"
"32","2026/106 15:00:46.028851300","169.254.246.216","224.0.0.251","MDNS","97","Standard query response 0x0000 TXT, cache flush"
"33","2026/106 15:00:46.069660900","172.18.80.47","224.0.0.251","MDNS","235","Standard query response 0x0000 PTR, cache flush maddies-iphone.local PTR, cache flush maddies-iphone.local NSEC, cache flush A.7.D.A.2.8.0.D.8.9.F.0.E.8.4.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 47.80.18.172.in-addr.arpa"
"34","2026/106 15:00:46.070699200","fe80::148e:f98:d082:ad7a","ff02::fb","MDNS","255","Standard query response 0x0000 PTR, cache flush maddies-iphone.local PTR, cache flush maddies-iphone.local NSEC, cache flush A.7.D.A.2.8.0.D.8.9.F.0.E.8.4.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 47.80.18.172.in-addr.arpa"
"35","2026/106 15:00:46.111133900","172.18.81.48","224.0.0.251","IGMPv2","60","Membership Report group 224.0.0.251"
"36","2026/106 15:00:46.114359200","fe80::1408:627a:e4b4:d94c","ff02::1:ff5b:56fa","ICMPv6","90","Neighbor Solicitation for fe80::8e4:f0ef:125b:56fa from 3c:06:30:07:80:08"
"37","2026/106 15:00:46.117447800","fe80::1408:627a:e4b4:d94c","ff02::1:ffe3:7110","ICMPv6","90","Neighbor Solicitation for fe80::10b5:340:c8e3:7110 from 3c:06:30:07:80:08"
"38","2026/106 15:00:46.188854600","169.254.56.40","224.0.0.251","MDNS","97","Standard query response 0x0000 TXT, cache flush"
"39","2026/106 15:00:46.192026000","172.18.82.96","224.0.0.251","MDNS","201","Standard query 0x0000 ANY 5B722429-6B9E-47E1-9E24-26236614E409._asquic._udp.local, ""QM"" question ANY Slims-Phone.local, ""QM"" question SRV 0 0 65038 Slims-Phone.local AAAA fe80::468:cd9b:2d31:c48a A 172.18.82.96"
"40","2026/106 15:00:46.192026000","172.18.82.96","224.0.0.251","MDNS","232","Standard query response 0x0000 PTR, cache flush Slims-Phone.local PTR, cache flush Slims-Phone.local NSEC, cache flush A.8.4.C.1.3.D.2.B.9.D.C.8.6.4.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 96.82.18.172.in-addr.arpa"
"41","2026/106 15:00:46.192026000","fe80::468:cd9b:2d31:c48a","ff02::fb","MDNS","221","Standard query 0x0000 ANY 5B722429-6B9E-47E1-9E24-26236614E409._asquic._udp.local, ""QM"" question ANY Slims-Phone.local, ""QM"" question SRV 0 0 65038 Slims-Phone.local AAAA fe80::468:cd9b:2d31:c48a A 172.18.82.96"
"42","2026/106 15:00:46.192026000","fe80::468:cd9b:2d31:c48a","ff02::fb","MDNS","252","Standard query response 0x0000 PTR, cache flush Slims-Phone.local PTR, cache flush Slims-Phone.local NSEC, cache flush A.8.4.C.1.3.D.2.B.9.D.C.8.6.4.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 96.82.18.172.in-addr.arpa"
"43","2026/106 15:00:46.239013100","169.254.81.72","224.0.0.251","MDNS","1481","Standard query response 0x0000 PTR LW262-AM-3200 (3)._airplay._tcp.local PTR LW150-AirMedia._airplay._tcp.local PTR LW157-AirMedia._airplay._tcp.local PTR LW152-AirMedia._airplay._tcp.local PTR LW151B-AirMedia._airplay._tcp.local PTR LW264-AM-3200._airplay._tcp.local PTR LW233-AirMedia._airplay._tcp.local PTR LW265-AM-3200._airplay._tcp.local PTR LW260-AM-3200._airplay._tcp.local A 172.18.71.232 A 172.18.71.240 TXT, cache flush SRV, cache flush 0 0 47000 172-18-71-240.local A 172.18.71.241 TXT, cache flush SRV, cache flush 0 0 47000 172-18-71-232.local A 172.18.71.227 TXT, cache flush A 172.18.71.236"
"44","2026/106 15:00:46.257397900","172.18.82.75","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"45","2026/106 15:00:46.284142900","169.254.222.232","224.0.0.251","MDNS","97","Standard query response 0x0000 TXT, cache flush"
"46","2026/106 15:00:46.323186800","Intel_d6:ca:9f","Intel_61:82:b7","ARP","60","Who has 172.18.81.89? Tell 172.18.80.108"
"47","2026/106 15:00:46.366856700","fe80::823:2d0c:1e5c:439c","ff02::fb","MDNS","1213","Standard query response 0x0000 PTR Aaliyahâ\200\231s MacBook Air._airplay._tcp.local PTR 2271F114FF24@Aaliyahâ\200\231s MacBook Air._raop._tcp.local PTR Aaliyahâ\200\231s MacBook Air._companion-link._tcp.local TXT TXT, cache flush TXT, cache flush SRV, cache flush 0 0 7000 Aaliyahs-MacBook-Air.local SRV, cache flush 0 0 7000 Aaliyahs-MacBook-Air.local TXT, cache flush AAAA, cache flush fe80::823:2d0c:1e5c:439c A, cache flush 172.18.80.46 SRV, cache flush 0 0 55925 Aaliyahs-MacBook-Air.local NSEC, cache flush Aaliyahâ\200\231s MacBook Air._airplay._tcp.local NSEC, cache flush 2271F114FF24@Aaliyahâ\200\231s MacBook Air._raop._tcp.local NSEC, cache flush Aaliyahâ\200\231s MacBook Air._companion-link._tcp.local NSEC, cache flush Aaliyahs-MacBook-Air.local"
"48","2026/106 15:00:46.366856700","172.18.80.46","224.0.0.251","MDNS","1193","Standard query response 0x0000 PTR Aaliyahâ\200\231s MacBook Air._airplay._tcp.local PTR 2271F114FF24@Aaliyahâ\200\231s MacBook Air._raop._tcp.local PTR Aaliyahâ\200\231s MacBook Air._companion-link._tcp.local TXT TXT, cache flush TXT, cache flush SRV, cache flush 0 0 7000 Aaliyahs-MacBook-Air.local SRV, cache flush 0 0 7000 Aaliyahs-MacBook-Air.local TXT, cache flush AAAA, cache flush fe80::823:2d0c:1e5c:439c A, cache flush 172.18.80.46 SRV, cache flush 0 0 55925 Aaliyahs-MacBook-Air.local NSEC, cache flush Aaliyahâ\200\231s MacBook Air._airplay._tcp.local NSEC, cache flush 2271F114FF24@Aaliyahâ\200\231s MacBook Air._raop._tcp.local NSEC, cache flush Aaliyahâ\200\231s MacBook Air._companion-link._tcp.local NSEC, cache flush Aaliyahs-MacBook-Air.local"
"49","2026/106 15:00:46.397990400","169.254.238.168","224.0.0.251","MDNS","97","Standard query response 0x0000 TXT, cache flush"
"50","2026/106 15:00:46.431870600","169.254.63.40","224.0.0.251","MDNS","97","Standard query response 0x0000 TXT, cache flush"
"51","2026/106 15:00:46.442411000","172.18.82.96","224.0.0.251","MDNS","289","Standard query response 0x0000 TXT, cache flush PTR _asquic._udp.local PTR 5B722429-6B9E-47E1-9E24-26236614E409._asquic._udp.local SRV, cache flush 0 0 65038 Slims-Phone.local AAAA, cache flush fe80::468:cd9b:2d31:c48a A, cache flush 172.18.82.96 NSEC, cache flush 5B722429-6B9E-47E1-9E24-26236614E409._asquic._udp.local NSEC, cache flush Slims-Phone.local"
"52","2026/106 15:00:46.442411000","fe80::468:cd9b:2d31:c48a","ff02::fb","MDNS","309","Standard query response 0x0000 TXT, cache flush PTR _asquic._udp.local PTR 5B722429-6B9E-47E1-9E24-26236614E409._asquic._udp.local SRV, cache flush 0 0 65038 Slims-Phone.local AAAA, cache flush fe80::468:cd9b:2d31:c48a A, cache flush 172.18.82.96 NSEC, cache flush 5B722429-6B9E-47E1-9E24-26236614E409._asquic._udp.local NSEC, cache flush Slims-Phone.local"
"53","2026/106 15:00:46.448436300","169.254.63.200","224.0.0.251","MDNS","97","Standard query response 0x0000 TXT, cache flush"
"54","2026/106 15:00:46.480574300","fe80::10f1:37e7:8161:63f0","ff02::fb","MDNS","1262","Standard query response 0x0000 PTR Natalieâ\200\231s MacBook Pro (2)._airplay._tcp.local PTR A4CF99910DAD@Natalieâ\200\231s MacBook Pro (2)._raop._tcp.local PTR Natalieâ\200\231s MacBook Pro (2)._companion-link._tcp.local TXT TXT, cache flush TXT, cache flush SRV, cache flush 0 0 7000 Natalies-MacBook-Pro-2.local SRV, cache flush 0 0 7000 Natalies-MacBook-Pro-2.local TXT, cache flush AAAA, cache flush fe80::10f1:37e7:8161:63f0 A, cache flush 172.18.81.15 SRV, cache flush 0 0 54662 Natalies-MacBook-Pro-2.local NSEC, cache flush Natalieâ\200\231s MacBook Pro (2)._airplay._tcp.local NSEC, cache flush A4CF99910DAD@Natalieâ\200\231s MacBook Pro (2)._raop._tcp.local NSEC, cache flush Natalieâ\200\231s MacBook Pro (2)._companion-link._tcp.local NSEC, cache flush Natalies-MacBook-Pro-2.local"
"55","2026/106 15:00:46.480574300","172.18.81.15","224.0.0.251","MDNS","1242","Standard query response 0x0000 PTR Natalieâ\200\231s MacBook Pro (2)._airplay._tcp.local PTR A4CF99910DAD@Natalieâ\200\231s MacBook Pro (2)._raop._tcp.local PTR Natalieâ\200\231s MacBook Pro (2)._companion-link._tcp.local TXT TXT, cache flush TXT, cache flush SRV, cache flush 0 0 7000 Natalies-MacBook-Pro-2.local SRV, cache flush 0 0 7000 Natalies-MacBook-Pro-2.local TXT, cache flush AAAA, cache flush fe80::10f1:37e7:8161:63f0 A, cache flush 172.18.81.15 SRV, cache flush 0 0 54662 Natalies-MacBook-Pro-2.local NSEC, cache flush Natalieâ\200\231s MacBook Pro (2)._airplay._tcp.local NSEC, cache flush A4CF99910DAD@Natalieâ\200\231s MacBook Pro (2)._raop._tcp.local NSEC, cache flush Natalieâ\200\231s MacBook Pro (2)._companion-link._tcp.local NSEC, cache flush Natalies-MacBook-Pro-2.local"
"56","2026/106 15:00:46.485705700","172.18.81.30","224.0.0.251","MDNS","1043","Standard query response 0x0000 PTR Joshuaâ\200\231s MacBook Air._airplay._tcp.local PTR B6268B6F8829@Joshuaâ\200\231s MacBook Air._raop._tcp.local TXT PTR Joshuaâ\200\231s MacBook Air._companion-link._tcp.local TXT, cache flush TXT, cache flush SRV, cache flush 0 0 7000 Joshuas-MacBook-Air.local SRV, cache flush 0 0 7000 Joshuas-MacBook-Air.local AAAA, cache flush fe80::103c:db89:bb20:1aaa A, cache flush 172.18.81.30 NSEC, cache flush Joshuaâ\200\231s MacBook Air._airplay._tcp.local NSEC, cache flush B6268B6F8829@Joshuaâ\200\231s MacBook Air._raop._tcp.local NSEC, cache flush Joshuas-MacBook-Air.local"
"57","2026/106 15:00:46.485705700","fe80::103c:db89:bb20:1aaa","ff02::fb","MDNS","1063","Standard query response 0x0000 PTR Joshuaâ\200\231s MacBook Air._airplay._tcp.local PTR B6268B6F8829@Joshuaâ\200\231s MacBook Air._raop._tcp.local TXT PTR Joshuaâ\200\231s MacBook Air._companion-link._tcp.local TXT, cache flush TXT, cache flush SRV, cache flush 0 0 7000 Joshuas-MacBook-Air.local SRV, cache flush 0 0 7000 Joshuas-MacBook-Air.local AAAA, cache flush fe80::103c:db89:bb20:1aaa A, cache flush 172.18.81.30 NSEC, cache flush Joshuaâ\200\231s MacBook Air._airplay._tcp.local NSEC, cache flush B6268B6F8829@Joshuaâ\200\231s MacBook Air._raop._tcp.local NSEC, cache flush Joshuas-MacBook-Air.local"
"58","2026/106 15:00:46.487052300","172.18.80.203","224.0.0.251","MDNS","1061","Standard query response 0x0000 PTR Kelseyâ\200\231s MacBook Pro._airplay._tcp.local PTR 469CF91D509D@Kelseyâ\200\231s MacBook Pro._raop._tcp.local PTR Kelseyâ\200\231s MacBook Pro._companion-link._tcp.local TXT TXT, cache flush TXT, cache flush SRV, cache flush 0 0 7000 Kelseys-MacBook-Pro.local SRV, cache flush 0 0 7000 Kelseys-MacBook-Pro.local AAAA, cache flush fe80::1408:627a:e4b4:d94c A, cache flush 172.18.80.203 NSEC, cache flush Kelseyâ\200\231s MacBook Pro._airplay._tcp.local NSEC, cache flush 469CF91D509D@Kelseyâ\200\231s MacBook Pro._raop._tcp.local NSEC, cache flush Kelseys-MacBook-Pro.local"
"59","2026/106 15:00:46.487311000","fe80::1408:627a:e4b4:d94c","ff02::fb","MDNS","1081","Standard query response 0x0000 PTR Kelseyâ\200\231s MacBook Pro._airplay._tcp.local PTR 469CF91D509D@Kelseyâ\200\231s MacBook Pro._raop._tcp.local PTR Kelseyâ\200\231s MacBook Pro._companion-link._tcp.local TXT TXT, cache flush TXT, cache flush SRV, cache flush 0 0 7000 Kelseys-MacBook-Pro.local SRV, cache flush 0 0 7000 Kelseys-MacBook-Pro.local AAAA, cache flush fe80::1408:627a:e4b4:d94c A, cache flush 172.18.80.203 NSEC, cache flush Kelseyâ\200\231s MacBook Pro._airplay._tcp.local NSEC, cache flush 469CF91D509D@Kelseyâ\200\231s MacBook Pro._raop._tcp.local NSEC, cache flush Kelseys-MacBook-Pro.local"
"60","2026/106 15:00:46.523080200","169.254.209.152","224.0.0.251","MDNS","97","Standard query response 0x0000 TXT, cache flush"
"61","2026/106 15:00:46.533190100","fe80::468:cd9b:2d31:c48a","ff02::fb","MDNS","781","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR Maiaâ\200\231s MacBook Air._companion-link._tcp.local PTR Katieâ\200\231s MacBook Air._companion-link._tcp.local PTR Kiaraâ\200\231s iPad._companion-link._tcp.local PTR FandoNando (2)._companion-link._tcp.local PTR iPad (2)._companion-link._tcp.local PTR Ephraimâ\200\231s MacBook Air._companion-link._tcp.local PTR Davidâ\200\231s MacBook Pro (2)._companion-link._tcp.local PTR Davidâ\200\231s MacBook Pro (3)._companion-link._tcp.local PTR Reese's MacBook._companion-link._tcp.local PTR Samanthaâ\200\231s MacBook Pro._companion-link._tcp.local PTR Bucephalus._companion-link._tcp.local PTR Lydiaâ\200\231s MacBook Air._companion-link._tcp.local PTR Sophiaâ\200\231s MacBook Air._companion-link._tcp.local PTR Guest Bedroom._companion-link._tcp.local PTR Jelissaâ\200\231s MacBook Air._companion-link._tcp.local PTR Aaliyahâ\200\231s MacBook Air._companion-link._tcp.local PTR Natalieâ\200\231s MacBook Pro (2)._companion-link._tcp.local PTR Joshuaâ\200\231s MacBook Air._companion-link._tcp.local PTR Kelseyâ\200\231s MacBook Pro._companion-link._tcp.local"
"62","2026/106 15:00:46.533190100","172.18.82.96","224.0.0.251","MDNS","761","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR Maiaâ\200\231s MacBook Air._companion-link._tcp.local PTR Katieâ\200\231s MacBook Air._companion-link._tcp.local PTR Kiaraâ\200\231s iPad._companion-link._tcp.local PTR FandoNando (2)._companion-link._tcp.local PTR iPad (2)._companion-link._tcp.local PTR Ephraimâ\200\231s MacBook Air._companion-link._tcp.local PTR Davidâ\200\231s MacBook Pro (2)._companion-link._tcp.local PTR Davidâ\200\231s MacBook Pro (3)._companion-link._tcp.local PTR Reese's MacBook._companion-link._tcp.local PTR Samanthaâ\200\231s MacBook Pro._companion-link._tcp.local PTR Bucephalus._companion-link._tcp.local PTR Lydiaâ\200\231s MacBook Air._companion-link._tcp.local PTR Sophiaâ\200\231s MacBook Air._companion-link._tcp.local PTR Guest Bedroom._companion-link._tcp.local PTR Jelissaâ\200\231s MacBook Air._companion-link._tcp.local PTR Aaliyahâ\200\231s MacBook Air._companion-link._tcp.local PTR Natalieâ\200\231s MacBook Pro (2)._companion-link._tcp.local PTR Joshuaâ\200\231s MacBook Air._companion-link._tcp.local PTR Kelseyâ\200\231s MacBook Pro._companion-link._tcp.local"
"63","2026/106 15:00:46.554926900","fe80::8de:8ab3:79d8:54bb","ff02::fb","MDNS","137","Standard query 0x0000 SRV HP OfficeJet Pro 8710 [080E2C]._ipps._tcp.local, ""QU"" question TXT HP OfficeJet Pro 8710 [080E2C]._ipps._tcp.local, ""QU"" question"
"64","2026/106 15:00:46.554926900","172.18.80.144","224.0.0.251","MDNS","117","Standard query 0x0000 SRV HP OfficeJet Pro 8710 [080E2C]._ipps._tcp.local, ""QU"" question TXT HP OfficeJet Pro 8710 [080E2C]._ipps._tcp.local, ""QU"" question"
"65","2026/106 15:00:46.558333800","169.254.242.184","224.0.0.251","MDNS","97","Standard query response 0x0000 TXT, cache flush"
"66","2026/106 15:00:46.587768600","172.18.81.141","224.0.0.251","MDNS","1122","Standard query response 0x0000 TXT PTR Reese's MacBook._airplay._tcp.local PTR 849437E35B88@Reese's MacBook._raop._tcp.local PTR Reese's MacBook._companion-link._tcp.local TXT, cache flush TXT, cache flush SRV, cache flush 0 0 7000 Reeses-MacBook.local SRV, cache flush 0 0 7000 Reeses-MacBook.local TXT, cache flush A, cache flush 172.18.81.141 SRV, cache flush 0 0 55099 Reeses-MacBook.local NSEC, cache flush Reese's MacBook._airplay._tcp.local NSEC, cache flush 849437E35B88@Reese's MacBook._raop._tcp.local NSEC, cache flush Reese's MacBook._companion-link._tcp.local NSEC, cache flush Reeses-MacBook.local"
"67","2026/106 15:00:46.589915700","fe80::1c92:b4d6:cdb:df8b","ff02::1:ff93:c9aa","ICMPv6","90","Neighbor Solicitation for fe80::1830:d2c8:ac93:c9aa from de:29:09:03:24:c2"
"68","2026/106 15:00:46.630397500","172.18.80.46","224.0.0.251","MDNS","206","Standard query response 0x0000 PTR Aaliyahâ\200\231s MacBook Air._companion-link._tcp.local TXT"
"69","2026/106 15:00:46.630397500","fe80::823:2d0c:1e5c:439c","ff02::fb","MDNS","226","Standard query response 0x0000 PTR Aaliyahâ\200\231s MacBook Air._companion-link._tcp.local TXT"
"70","2026/106 15:00:46.642277500","fe80::1408:627a:e4b4:d94c","ff02::1:fff1:bc59","ICMPv6","90","Neighbor Solicitation for fe80::496:9da7:1df1:bc59 from 3c:06:30:07:80:08"
"71","2026/106 15:00:46.651430500","172.18.80.118","224.0.0.251","MDNS","91","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"72","2026/106 15:00:46.651430500","fe80::476:ad79:9108:396f","ff02::fb","MDNS","111","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"73","2026/106 15:00:46.653144000","169.254.246.24","224.0.0.251","MDNS","97","Standard query response 0x0000 TXT, cache flush"
"74","2026/106 15:00:46.696014000","a0:d7:68:40:a1:26","Intel_61:82:b7","ARP","60","Who has 172.18.80.164? Tell 172.18.81.207"
"75","2026/106 15:00:46.727462400","172.18.80.118","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"76","2026/106 15:00:47.131014700","172.18.81.11","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"77","2026/106 15:00:47.131014700","172.18.81.48","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"78","2026/106 15:00:47.137620200","fe80::468:cd9b:2d31:c48a","ff02::16","ICMPv6","94","Multicast Listener Report Message v2"
"79","2026/106 15:00:47.138976100","172.18.81.15","224.0.0.251","MDNS","213","Standard query response 0x0000 PTR Natalieâ\200\231s MacBook Pro (2)._companion-link._tcp.local TXT"
"80","2026/106 15:00:47.138976100","fe80::10f1:37e7:8161:63f0","ff02::fb","MDNS","233","Standard query response 0x0000 PTR Natalieâ\200\231s MacBook Pro (2)._companion-link._tcp.local TXT"
"81","2026/106 15:00:47.138976100","fe80::10f1:37e7:8161:63f0","ff02::1:ffe3:7110","ICMPv6","90","Neighbor Solicitation for fe80::10b5:340:c8e3:7110 from a4:cf:99:91:0d:ad"
"82","2026/106 15:00:47.138976100","fe80::823:2d0c:1e5c:439c","ff02::1:ff63:4eee","ICMPv6","90","Neighbor Solicitation for fe80::108b:642d:7663:4eee from e6:bd:41:3c:ce:4d"
"83","2026/106 15:00:47.138976100","fe80::1408:627a:e4b4:d94c","ff02::1:ff63:4eee","ICMPv6","90","Neighbor Solicitation for fe80::108b:642d:7663:4eee from 3c:06:30:07:80:08"
"84","2026/106 15:00:47.138976100","fe80::103c:db89:bb20:1aaa","ff02::1:ff5b:56fa","ICMPv6","90","Neighbor Solicitation for fe80::8e4:f0ef:125b:56fa from f6:4b:11:1b:28:97"
